Epoch: 0 	training: loss = 2.317643 	acc = 0.214150
Epoch: 1 	training: loss = 1.094637 	acc = 0.641234
Epoch: 2 	training: loss = 0.878078 	acc = 0.730283
Epoch: 3 	training: loss = 0.881895 	acc = 0.718547
Epoch: 4 	training: loss = 0.952694 	acc = 0.702279
Epoch: 5 	training: loss = 0.826278 	acc = 0.740057
Epoch: 6 	training: loss = 0.714279 	acc = 0.770225
Epoch: 7 	training: loss = 0.623843 	acc = 0.795827
Epoch: 8 	training: loss = 0.560909 	acc = 0.813176
Epoch: 9 	training: loss = 0.476233 	acc = 0.843649
Epoch: 10 	training: loss = 0.470828 	acc = 0.838474
Epoch: 11 	training: loss = 0.443940 	acc = 0.849195
Epoch: 12 	training: loss = 0.435139 	acc = 0.857380
Epoch: 13 	training: loss = 0.429257 	acc = 0.859578
Epoch: 14 	training: loss = 0.376158 	acc = 0.870705
Epoch: 15 	training: loss = 0.397050 	acc = 0.858124
Epoch: 16 	training: loss = 0.365782 	acc = 0.876184
Epoch: 17 	training: loss = 0.389270 	acc = 0.871550
Epoch: 18 	training: loss = 0.353425 	acc = 0.888427
Epoch: 19 	training: loss = 0.338553 	acc = 0.886803
Epoch: 20 	training: loss = 0.278206 	acc = 0.909091
Epoch: 21 	training: loss = 0.220877 	acc = 0.924006
Epoch: 22 	training: loss = 0.214255 	acc = 0.928199
Epoch: 23 	training: loss = 0.211842 	acc = 0.925629
Epoch: 24 	training: loss = 0.199438 	acc = 0.931514
Epoch: 25 	training: loss = 0.182900 	acc = 0.935369
Epoch: 26 	training: loss = 0.187312 	acc = 0.937229
Epoch: 27 	training: loss = 0.182489 	acc = 0.934659
Epoch: 28 	training: loss = 0.183658 	acc = 0.936316
Epoch: 29 	training: loss = 0.187337 	acc = 0.937906
Epoch: 30 	training: loss = 0.176263 	acc = 0.939394
Epoch: 31 	training: loss = 0.162692 	acc = 0.942438
Epoch: 32 	training: loss = 0.179216 	acc = 0.940510
Epoch: 33 	training: loss = 0.163629 	acc = 0.945718
Epoch: 34 	training: loss = 0.159518 	acc = 0.946395
Epoch: 35 	training: loss = 0.154294 	acc = 0.947443
Epoch: 36 	training: loss = 0.163917 	acc = 0.946023
Epoch: 37 	training: loss = 0.164465 	acc = 0.945042
Epoch: 38 	training: loss = 0.190509 	acc = 0.936485
Epoch: 39 	training: loss = 0.163969 	acc = 0.942235
Epoch: 40 	training: loss = 0.152698 	acc = 0.948153
Epoch: 41 	training: loss = 0.168096 	acc = 0.941964
Epoch: 42 	training: loss = 0.164807 	acc = 0.945042
